.\opt\services\test_phase5_features.py:463:27: F821 undefined name 'Dict'
.\opt\testing\test_phase4_week4.py:2:1: F401 'typing.Set' imported but unused
.\opt\testing\test_phase4_week4.py:3:1: F401 'redis.Redis' imported but unused
.\opt\web\panel\api_versioning.py:23:1: F401 'typing.TupleVar' imported but unused
.\opt\web\panel\app.py:20:1: F401 'redis.Redis' imported but unused
.\opt\web\panel\app.py:28:1: F401 'typing.Optional' imported but unused
.\opt\web\panel\app.py:28:1: F401 'typing.List' imported but unused
.\opt\web\panel\auth_2fa.py:24:1: F401 'typing.Union' imported but unused
.\opt\web\panel\core\rpc_client.py:20:1: F401 'opt.services.rpc.debvisor_pb2' imported but unused
.\opt\web\panel\core\rpc_client.py:20:1: F401 'opt.services.rpc.debvisor_pb2_grpc' imported but unused
.\opt\web\panel\models\audit_log.py:7:1: F401 'typing.Union' imported but unused
.\opt\web\panel\rbac.py:17:1: F401 'typing.AnyVar' imported but unused
.\opt\web\panel\routes\passthrough.py:17:1: F401 'unittest.mock.patch' imported but unused
.\opt\web\panel\routes\storage.py:7:1: F401 'typing.Union' imported but unused
.\opt\web\panel\routes\storage.py:7:1: F401 'typing.Tuple' imported but unused
.\opt\web\panel\routes\storage.py:8:1: F401 'flask.Response' imported but unused
.\opt\web\panel\validation\schemas.py:13:1: F401 'typing.List' imported but unused
.\scripts\actions_inspector.py:24:1: F401 'typing.Set' imported but unused
.\scripts\apply_mypy_easy_fixes.py:13:1: F401 'typing.Callable' imported but unused
.\scripts\apply_mypy_easy_fixes.py:14:1: F401 'typing.Tuple' imported but unused
.\scripts\apply_mypy_easy_fixes.py:15:1: F401 'typing.Set' imported but unused
.\scripts\auto_fix_mypy.py:11:1: F401 'typing.Dict' imported but unused
.\scripts\auto_fix_mypy.py:11:1: F401 'typing.Any' imported but unused
.\scripts\auto_fix_mypy.py:11:1: F401 'typing.Optional' imported but unused
.\scripts\fix_security_scan.py:26:1: F401 'subprocess' imported but unused
.\tests\conftest.py:18:1: F401 'redis.Redis' imported but unused
.\tests\test_api_key_manager.py:8:1: F401 'typing.List' imported but unused
.\tests\test_api_versioning.py:13:1: F401 'unittest.mock.patch' imported but unused
.\tests\test_audit_chain.py:2:1: F401 'json' imported but unused
.\tests\test_backup_manager_encryption.py:2:1: F401 'unittest.mock.patch' imported but unused
.\tests\test_integration_suite.py:16:1: F401 'typing.List' imported but unused
.\tests\test_integration_suite.py:18:1: F401 'redis.Redis' imported but unused
.\tests\test_marketplace_governance.py:2:1: F401 'unittest.mock.MagicMock' imported but unused
.\tests\test_marketplace_governance.py:3:1: F401 'opt.services.marketplace.marketplace_service.SeverityLevel' imported but unused
.\tests\test_marketplace_governance.py:3:1: F401 'opt.services.marketplace.marketplace_service.CVERecord' imported but unused
.\tests\test_migrations.py:3:1: F401 'flask_sqlalchemy.SQLAlchemy' imported but unused
.\tests\test_migrations.py:10:1: F401 'opt.web.panel.models.user.User' imported but unused
.\tests\test_migrations.py:11:1: F401 'opt.web.panel.models.node.Node' imported but unused
.\tests\test_migrations.py:12:1: F401 'opt.web.panel.models.audit_log.AuditLog' imported but unused
.\tests\test_scheduler.py:13:1: F401 'typing.List' imported but unused
.\tests\test_ssh_hardening.py:2:1: F401 'unittest.mock.patch' imported but unused
.\tests\test_ssh_hardening.py:2:1: F401 'unittest.mock.mock_open' imported but unused
