Fix All Errors Report
 = = = = = = = = = = = = = = = = = = = = = 

Total Issues Found: 65909
Summary by Type:
  License Header: 41
  Markdown: 488
  MyPy: 2
  NotificationsReport: 1
  Type Check: 1
  Unit Tests: 10
  Whitespace: 65366

Details:
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:1 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:2 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:3 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:4 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:5 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:6 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:7 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:8 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:9 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:10 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:11 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:12 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:13 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:14 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:15 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:16 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:17 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:18 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:19 | Trailing whitespace
